iter	Passed	Remaining
208	5850	22142
209	5875	22101
210	5905	22082
211	5934	22057
212	5967	22047
213	5998	22030
214	6027	22005
215	6057	21987
216	6083	21950
217	6113	21929
218	6153	21945
219	6184	21927
220	6216	21913
221	6243	21878
222	6270	21849
223	6303	21837
224	6335	21822
225	6366	21805
226	6399	21791
227	6429	21771
228	6455	21733
229	6484	21710
230	6514	21686
231	6550	21683
232	6580	21663
233	6611	21643
234	6641	21620
235	6671	21599
236	6702	21577
237	6729	21546
238	6758	21520
239	6787	21494
240	6816	21467
241	6845	21440
242	6873	21412
243	6904	21393
244	6938	21381
245	6972	21371
246	7001	21344
247	7027	21310
248	7056	21282
249	7087	21262
250	7116	21236
251	7146	21213
252	7176	21187
253	7207	21168
254	7238	21148
255	7270	21128
256	7304	21116
257	7334	21095
258	7370	21087
259	7400	21063
260	7430	21038
261	7460	21014
262	7488	20985
263	7518	20961
264	7535	20901
265	7551	20838
266	7566	20773
267	7582	20710
268	7598	20648
269	7614	20587
270	7628	20521
271	7644	20460
272	7658	20395
273	7674	20335
274	7689	20271
275	7705	20212
276	7718	20147
277	7736	20092
278	7755	20043
279	7770	19981
280	7784	19918
281	7799	19858
282	7814	19799
283	7830	19741
284	7846	19684
285	7861	19625
286	7878	19572
287	7893	19515
288	7910	19460
289	7926	19405
290	7940	19347
291	7958	19296
292	7974	19241
293	7990	19187
294	8006	19134
295	8022	19080
296	8037	19025
297	8053	18971
298	8068	18916
299	8084	18864
300	8098	18806
301	8113	18751
302	8129	18701
303	8148	18655
304	8162	18600
305	8178	18548
306	8194	18497
307	8209	18444
308	8224	18391
309	8240	18342
310	8257	18293
311	8275	18249
312	8293	18202
313	8308	18151
314	8324	18102
315	8340	18053
316	8353	17998
317	8368	17948
318	8385	17902
319	8402	17854
320	8418	17807
321	8433	17757
322	8448	17708
323	8463	17658
324	8478	17608
325	8493	17560
326	8506	17507
327	8522	17459
328	8540	17418
329	8555	17370
330	8570	17321
331	8585	17274
332	8601	17229
333	8617	17182
334	8633	17137
335	8648	17090
336	8675	17067
337	8721	17081
338	8752	17066
339	8783	17049
340	8817	17039
341	8849	17026
342	8879	17008
343	8907	16985
344	8946	16985
345	8990	16992
346	9021	16977
347	9052	16960
348	9083	16944
349	9113	16924
350	9146	16911
351	9175	16892
352	9207	16876
353	9237	16856
354	9268	16839
355	9299	16822
356	9341	16825
357	9366	16796
358	9397	16779
359	9427	16759
360	9456	16739
361	9484	16715
362	9514	16695
363	9544	16676
364	9571	16652
365	9600	16631
366	9629	16609
367	9658	16588
368	9689	16568
369	9717	16545
370	9754	16538
371	9783	16515
372	9812	16494
373	9842	16474
374	9874	16457
375	9903	16436
376	9931	16412
377	9962	16392
378	9993	16374
379	10020	16350
380	10050	16329
381	10080	16307
382	10111	16288
383	10150	16282
384	10181	16264
385	10210	16241
386	10238	16217
387	10272	16202
388	10301	16180
389	10331	16159
390	10360	16137
391	10388	16113
392	10417	16090
393	10448	16070
394	10477	16048
395	10504	16022
396	10534	16000
397	10570	15988
398	10601	15968
399	10630	15945
400	10659	15922
401	10691	15904
402	10719	15879
403	10749	15858
